,Sectors,Country,State,location,Longitude,Latitude
0,Sector 1,India,Noida,"Sector 1, Noida, India",77.3910727,28.5356329
1,Sector 2,India,Noida,"Sector 2, Noida, India",77.3910727,28.5356329
2,Sector 3,India,Noida,"Sector 3, Noida, India",77.3910727,28.5356329
3,Sector 4,India,Noida,"Sector 4, Noida, India",77.3910727,28.5356329
4,Sector 5,India,Noida,"Sector 5, Noida, India",77.3910727,28.5356329
5,Sector 6,India,Noida,"Sector 6, Noida, India",77.3910727,28.5356329
6,Sector 7,India,Noida,"Sector 7, Noida, India",77.3910727,28.5356329
7,Sector 8,India,Noida,"Sector 8, Noida, India",77.3910727,28.5356329
8,Sector 9,India,Noida,"Sector 9, Noida, India",77.32739260029359,28.5868527
9,Sector 10,India,Noida,"Sector 10, Noida, India",77.3910727,28.5356329
10,Sector 11,India,Noida,"Sector 11, Noida, India",77.3910727,28.5356329
11,Sector 12,India,Noida,"Sector 12, Noida, India",77.3910727,28.5356329
12,Sector 14,India,Noida,"Sector 14, Noida, India",77.3910727,28.5356329
13,Sector 15,India,Noida,"Sector 15, Noida, India",77.3910727,28.5356329
14,Sector 16,India,Noida,"Sector 16, Noida, India",77.3910727,28.5356329
15,Sector 17,India,Noida,"Sector 17, Noida, India",77.3910727,28.5356329
16,Sector 18,India,Noida,"Sector 18, Noida, India",77.36039835,28.6101219
17,Sector 19,India,Noida,"Sector 19, Noida, India",77.3910727,28.5356329
18,Sector 20,India,Noida,"Sector 20, Noida, India",77.5244982,28.4741497
19,Sector 21,India,Noida,"Sector 21, Noida, India",77.3910727,28.5356329
20,Sector 22,India,Noida,"Sector 22, Noida, India",77.36039835,28.6101219
21,Sector 23,India,Noida,"Sector 23, Noida, India",77.3910727,28.5356329
22,Sector 24,India,Noida,"Sector 24, Noida, India",77.36039835,28.6101219
23,Sector 25,India,Noida,"Sector 25, Noida, India",77.36039835,28.6101219
24,Sector 26,India,Noida,"Sector 26, Noida, India",77.3910727,28.5356329
25,Sector 27,India,Noida,"Sector 27, Noida, India",77.5320125,28.4742779
26,Sector 28,India,Noida,"Sector 28, Noida, India",77.3910727,28.5356329
27,Sector 29,India,Noida,"Sector 29, Noida, India",,
28,Sector 30,India,Noida,"Sector 30, Noida, India",77.36039835,28.6101219
29,Sector 31,India,Noida,"Sector 31, Noida, India",,
30,Sector 32,India,Noida,"Sector 32, Noida, India",77.3910727,28.5356329
31,Sector 33,India,Noida,"Sector 33, Noida, India",77.3910727,28.5356329
32,Sector 34,India,Noida,"Sector 34, Noida, India",,
33,Sector 35,India,Noida,"Sector 35, Noida, India",77.3910727,28.5356329
34,Sector 36,India,Noida,"Sector 36, Noida, India",,
35,Sector 37,India,Noida,"Sector 37, Noida, India",77.3910727,28.5356329
36,Sector 38,India,Noida,"Sector 38, Noida, India",,
37,Sector 39,India,Noida,"Sector 39, Noida, India",77.3910727,28.5356329
38,Sector 40,India,Noida,"Sector 40, Noida, India",77.36039835,28.6101219
39,Sector 41,India,Noida,"Sector 41, Noida, India",77.36275025746914,28.5661335
40,Sector 42,India,Noida,"Sector 42, Noida, India",77.3910727,28.5356329
41,Sector 43,India,Noida,"Sector 43, Noida, India",,
42,Sector 44,India,Noida,"Sector 44, Noida, India",,
43,Sector 45,India,Noida,"Sector 45, Noida, India",,
44,Sector 46,India,Noida,"Sector 46, Noida, India",,
45,Sector 47,India,Noida,"Sector 47, Noida, India",77.37006993419931,28.549828400000003
46,Sector 48,India,Noida,"Sector 48, Noida, India",77.3687445257849,28.556710250000002
47,Sector 49,India,Noida,"Sector 49, Noida, India",77.3910727,28.5356329
48,Sector 50,India,Noida,"Sector 50, Noida, India",77.3910727,28.5356329
49,Sector 51,India,Noida,"Sector 51, Noida, India",,
50,Sector 52,India,Noida,"Sector 52, Noida, India",77.3910727,28.5356329
51,Sector 53,India,Noida,"Sector 53, Noida, India",77.3910727,28.5356329
52,Sector 54,India,Noida,"Sector 54, Noida, India",77.3910727,28.5356329
53,Sector 55,India,Noida,"Sector 55, Noida, India",77.36039835,28.6101219
54,Sector 56,India,Noida,"Sector 56, Noida, India",77.3910727,28.5356329
55,Sector 57,India,Noida,"Sector 57, Noida, India",,
56,Sector 58,India,Noida,"Sector 58, Noida, India",,
57,Sector 59,India,Noida,"Sector 59, Noida, India",,
58,Sector 60,India,Noida,"Sector 60, Noida, India",77.36039835,28.6101219
59,Sector 61,India,Noida,"Sector 61, Noida, India",,
60,Sector 62,India,Noida,"Sector 62, Noida, India",77.3910727,28.5356329
61,Sector 63,India,Noida,"Sector 63, Noida, India",77.38370739533995,28.62399925
62,Sector 64,India,Noida,"Sector 64, Noida, India",,
63,Sector 65,India,Noida,"Sector 65, Noida, India",77.3910727,28.5356329
64,Sector 66,India,Noida,"Sector 66, Noida, India",,
65,Sector 67,India,Noida,"Sector 67, Noida, India",,
66,Sector 68,India,Noida,"Sector 68, Noida, India",,
67,Sector 69,India,Noida,"Sector 69, Noida, India",,
68,Sector 70,India,Noida,"Sector 70, Noida, India",77.3910727,28.5356329
69,Sector 71,India,Noida,"Sector 71, Noida, India",,
70,Sector 72,India,Noida,"Sector 72, Noida, India",,
71,Sector 73,India,Noida,"Sector 73, Noida, India",,
72,Sector 74,India,Noida,"Sector 74, Noida, India",77.3926605674557,28.5734122
73,Sector 75,India,Noida,"Sector 75, Noida, India",,
74,Sector 76,India,Noida,"Sector 76, Noida, India",,
75,Sector 77,India,Noida,"Sector 77, Noida, India",,
76,Sector 78,India,Noida,"Sector 78, Noida, India",,
77,Sector 79,India,Noida,"Sector 79, Noida, India",,
78,Sector 80,India,Noida,"Sector 80, Noida, India",,
79,Sector 81,India,Noida,"Sector 81, Noida, India",77.32739260029359,28.5868527
80,Sector 82,India,Noida,"Sector 82, Noida, India",77.3899335641002,28.531154100000002
81,Sector 83,India,Noida,"Sector 83, Noida, India",77.39860841102819,28.52515145
82,Sector 84,India,Noida,"Sector 84, Noida, India",,
83,Sector 85,India,Noida,"Sector 85, Noida, India",77.40448946289212,28.5180798
84,Sector 86,India,Noida,"Sector 86, Noida, India",,
85,Sector 87,India,Noida,"Sector 87, Noida, India",77.32739260029359,28.5868527
86,Sector 88,India,Noida,"Sector 88, Noida, India",,
87,Sector 89,India,Noida,"Sector 89, Noida, India",,
88,Sector 90,India,Noida,"Sector 90, Noida, India",77.41425590820192,28.51223945
89,Sector 91,India,Noida,"Sector 91, Noida, India",77.3976807921918,28.514002849999997
90,Sector 92,India,Noida,"Sector 92, Noida, India",77.39489696091766,28.518177100000003
91,Sector 93,India,Noida,"Sector 93, Noida, India",77.38611652635943,28.522950700000003
92,Sector 94,India,Noida,"Sector 94, Noida, India",,
93,Sector 95,India,Noida,"Sector 95, Noida, India",,
94,Sector 96,India,Noida,"Sector 96, Noida, India",77.32739260029359,28.5868527
95,Sector 97,India,Noida,"Sector 97, Noida, India",,
96,Sector 98,India,Noida,"Sector 98, Noida, India",,
97,Sector 99,India,Noida,"Sector 99, Noida, India",,
98,Sector 100,India,Noida,"Sector 100, Noida, India",77.36509585857044,28.542287299999998
99,Sector 101,India,Noida,"Sector 101, Noida, India",,
100,Sector 102,India,Noida,"Sector 102, Noida, India",,
101,Sector 104,India,Noida,"Sector 104, Noida, India",,
102,Sector 105,India,Noida,"Sector 105, Noida, India",77.36917722190071,28.5315704
103,Sector 106,India,Noida,"Sector 106, Noida, India",,
104,Sector 107,India,Noida,"Sector 107, Noida, India",77.37656096549142,28.545932
105,Sector 108,India,Noida,"Sector 108, Noida, India",77.37679362664534,28.52660665
106,Sector 110,India,Noida,"Sector 110, Noida, India",,
107,Sector 112,India,Noida,"Sector 112, Noida, India",,
108,Sector 113,India,Noida,"Sector 113, Noida, India",,
109,Sector 115,India,Noida,"Sector 115, Noida, India",,
110,Sector 116,India,Noida,"Sector 116, Noida, India",77.32739260029359,28.5868527
111,Sector 117,India,Noida,"Sector 117, Noida, India",77.32739260029359,28.5868527
112,Sector 118,India,Noida,"Sector 118, Noida, India",77.32739260029359,28.5868527
113,Sector 119,India,Noida,"Sector 119, Noida, India",77.32739260029359,28.5868527
114,Sector 120,India,Noida,"Sector 120, Noida, India",,
115,Sector 121,India,Noida,"Sector 121, Noida, India",77.32739260029359,28.5868527
116,Sector 122,India,Noida,"Sector 122, Noida, India",,
117,Sector 123,India,Noida,"Sector 123, Noida, India",77.32739260029359,28.5868527
118,Sector 124,India,Noida,"Sector 124, Noida, India",,
119,Sector 125,India,Noida,"Sector 125, Noida, India",77.32739260029359,28.5868527
120,Sector 126,India,Noida,"Sector 126, Noida, India",77.32739260029359,28.5868527
121,Sector 127,India,Noida,"Sector 127, Noida, India",77.32739260029359,28.5868527
122,Sector 128,India,Noida,"Sector 128, Noida, India",77.35797417169636,28.52993885
123,Sector 129,India,Noida,"Sector 129, Noida, India",77.32739260029359,28.5868527
124,Sector 130,India,Noida,"Sector 130, Noida, India",77.32739260029359,28.5868527
125,Sector 131,India,Noida,"Sector 131, Noida, India",77.32739260029359,28.5868527
126,Sector 132,India,Noida,"Sector 132, Noida, India",77.37677006182705,28.5116887
127,Sector 133,India,Noida,"Sector 133, Noida, India",,
128,Sector 134,India,Noida,"Sector 134, Noida, India",77.32739260029359,28.5868527
129,Sector 135,India,Noida,"Sector 135, Noida, India",,
130,Sector 136,India,Noida,"Sector 136, Noida, India",77.40167257287418,28.507924099999997
131,Sector 137,India,Noida,"Sector 137, Noida, India",77.41045257513859,28.50863715
132,Sector 138,India,Noida,"Sector 138, Noida, India",77.32739260029359,28.5868527
133,Sector 139,India,Noida,"Sector 139, Noida, India",77.32739260029359,28.5868527
134,Sector 140,India,Noida,"Sector 140, Noida, India",77.32739260029359,28.5868527
135,Sector 141,India,Noida,"Sector 141, Noida, India",77.32739260029359,28.5868527
136,Sector 142,India,Noida,"Sector 142, Noida, India",77.32739260029359,28.5868527
137,Sector 143,India,Noida,"Sector 143, Noida, India",77.42625566496575,28.50266325
138,Sector 144,India,Noida,"Sector 144, Noida, India",77.32739260029359,28.5868527
139,Sector 145,India,Noida,"Sector 145, Noida, India",77.32739260029359,28.5868527
140,Sector 146,India,Noida,"Sector 146, Noida, India",77.32739260029359,28.5868527
141,Sector 147,India,Noida,"Sector 147, Noida, India",77.32739260029359,28.5868527
142,Sector 148,India,Noida,"Sector 148, Noida, India",77.32739260029359,28.5868527
143,Sector 149,India,Noida,"Sector 149, Noida, India",77.32739260029359,28.5868527
144,Sector 150,India,Noida,"Sector 150, Noida, India",77.32739260029359,28.5868527
145,Sector 151,India,Noida,"Sector 151, Noida, India",77.32739260029359,28.5868527
146,Sector 152,India,Noida,"Sector 152, Noida, India",77.32739260029359,28.5868527
147,Sector 153,India,Noida,"Sector 153, Noida, India",77.32739260029359,28.5868527
148,Sector 154,India,Noida,"Sector 154, Noida, India",77.32739260029359,28.5868527
149,Sector 155,India,Noida,"Sector 155, Noida, India",77.32739260029359,28.5868527
150,Sector 156,India,Noida,"Sector 156, Noida, India",77.32739260029359,28.5868527
151,Sector 157,India,Noida,"Sector 157, Noida, India",77.32739260029359,28.5868527
152,Sector 158,India,Noida,"Sector 158, Noida, India",77.32739260029359,28.5868527
153,Sector 159,India,Noida,"Sector 159, Noida, India",77.32739260029359,28.5868527
154,Sector 160,India,Noida,"Sector 160, Noida, India",77.32739260029359,28.5868527
155,Sector 161,India,Noida,"Sector 161, Noida, India",77.32739260029359,28.5868527
156,Sector 162,India,Noida,"Sector 162, Noida, India",77.32739260029359,28.5868527
157,Sector 163,India,Noida,"Sector 163, Noida, India",77.32739260029359,28.5868527
158,Sector 164,India,Noida,"Sector 164, Noida, India",77.32739260029359,28.5868527
159,Sector 165,India,Noida,"Sector 165, Noida, India",77.32739260029359,28.5868527
160,Sector 166,India,Noida,"Sector 166, Noida, India",77.32739260029359,28.5868527
161,Sector 167,India,Noida,"Sector 167, Noida, India",77.32739260029359,28.5868527
162,Sector 168,India,Noida,"Sector 168, Noida, India",77.3910727,28.5356329
